Test_accuracy,Model_layers,Layer_sizes,Epochs,Batch_size,Learning_rate,Loss_function,Optimizer,Momentum,Alpha,Weight_decay,Train_time, Test_time
Optimizeer,,,,,,,,,,,,
93.46153846153848,1.0,[512],100.0,128.0,0.001,BCELoss,AdamW,0.9,0.9,0.01,2.5868465900421143,0.0053915977478027
88.46153846153847,1.0,[1024],100.0,128.0,0.001,BCELoss,AdamW,0.9,0.9,0.01,3.049700975418091,0.0043349266052246
95.0,1.0,[2048],100.0,128.0,0.001,BCELoss,AdamW,0.9,0.9,0.01,3.8348796367645264,0.0059633255004882
Num_layers,,,,,,,,,,,,
92.3076923076923,1.0,[512],100.0,128.0,0.001,BCELoss,AdamW,0.9,0.9,0.01,2.5823490619659424,0.0059151649475097
94.23076923076924,2.0,"[512, 512]",100.0,128.0,0.001,BCELoss,AdamW,0.9,0.9,0.01,4.4046361446380615,0.0055453777313232
84.23076923076923,3.0,"[512, 512, 512]",100.0,128.0,0.001,BCELoss,AdamW,0.9,0.9,0.01,6.228991985321045,0.0069375038146972
75.0,4.0,"[512, 512, 512, 512]",100.0,128.0,0.001,BCELoss,AdamW,0.9,0.9,0.01,8.191739559173584,0.0068469047546386
52.30769230769231,5.0,"[512, 512, 512, 512, 512]",100.0,128.0,0.001,BCELoss,AdamW,0.9,0.9,0.01,10.012014627456663,0.0161292552947998
,,,,,,,,,,,,
94.61538461538461,2.0,"[512, 512]",500.0,128.0,0.001,BCELoss,AdamW,0.9,0.9,0.01,23.074690341949463,0.009035110473632812
